source_path,final_path,status,date_folder,location,location_source,matched_existing
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0863.JPG,"E:\Drone\Tierra Verde, Florida, US\2023-07-21\DJI_0863.JPG",moved,2023-07-21,"Tierra Verde, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0864.JPG,"E:\Drone\Tierra Verde, Florida, US\2023-07-21\DJI_0864.JPG",moved,2023-07-21,"Tierra Verde, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0867.JPG,"E:\Drone\Tierra Verde, Florida, US\2023-07-21\DJI_0867.JPG",moved,2023-07-21,"Tierra Verde, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0868.MP4,"E:\Drone\West Bradenton, Florida, US\2023-07-22\DJI_0868.MP4",moved,2023-07-22,"West Bradenton, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0869.JPG,"E:\Drone\West Bradenton, Florida, US\2023-07-21\DJI_0869.JPG",moved,2023-07-21,"West Bradenton, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0870.JPG,"E:\Drone\West Bradenton, Florida, US\2023-07-22\DJI_0870.JPG",moved,2023-07-22,"West Bradenton, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0871.JPG,"E:\Drone\West Bradenton, Florida, US\2023-07-22\DJI_0871.JPG",moved,2023-07-22,"West Bradenton, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0872.JPG,"E:\Drone\West Bradenton, Florida, US\2023-07-22\DJI_0872.JPG",moved,2023-07-22,"West Bradenton, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0873.MP4,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0873.MP4",moved,2023-08-07,"Dunedin, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0874.MP4,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0874.MP4",moved,2023-08-07,"Dunedin, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0875.MP4,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0875.MP4",moved,2023-08-07,"Dunedin, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0876.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0876.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0877.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0877.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0878.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0878.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0879.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0879.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0880.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0880.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0881.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0881.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0882.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0882.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0883.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0883.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0884.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0884.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0885.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0885.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0886.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0886.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0887.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0887.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0888.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0888.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0889.JPG,"E:\Drone\Dunedin, Florida, US\2023-08-07\DJI_0889.JPG",moved,2023-08-07,"Dunedin, Florida, US",gps,
